"The payment was canceled.","<p>It seems that your online payment encountered difficulties, unfortunately. These reasons may be the cause:</p><br />
<ul>
<li>Entering incorrect bank details.</li>
<li>Payment limit exceeded.</li>
<li>Technical problem on the place of connection to the Internet.</li>
</ul>
<br />
<p>Please notify that our online payment stay fully secured even if your payment fails. Your financial information remains confidential and fully protected.</p>
<br />
<p>If you wish to try again, please find back your cart below. For assistance, please contact us on contact@monbento.com.</p>"
"09 63 23 95 12", "+33 9 63 23 95 12"
"Subscribe to the newsletter","Recibir la newsletter"
"Valider","Validar"
"Cancel Coupon","Anular cupón"
"Download the image of my creation","Descargar la foto de mi creación"
"Share my creation","Compartir mi creación"
"Back to the range","Ver toda la gama"
"Lundi &gt; Vendredi - 9h&gt;12h / 14h&gt;17h","Lunes &gt; Viernes &gt; - 9h&gt;12h / 14h&gt;17h"
"loading...","Cargando..."
"loading","Cargando"
"%s was successfully added to your shopping cart.","%s ha sido añadido bien a su cesta"
"My Cart <strong>(%s item)</strong>","Mi Cesta <strong>(%s artículo)</strong>"
"My Cart <strong>(%s items)</strong>","Mi Cesta <strong>(%s artículos)</strong>"
"My Cart (%s item)","Mi Cesta %s artículo)"
"My Cart (%s items)","Mi Cesta %s artículos)"
"My cart","Mi Cesta"
"View cart & checkout","Ir a la cesta"
"Continue shopping","Proseguir sus compras"
"I have a gift certificate","Tengo un vale de regalo"
"Enter code","Agarrar el código"
"Before calculating shipping cost","Antes de cálculo de los gastos de envío"
"Recherchez un produit","Buscar un producto"
"Rejoignez-nous", "Únase a nosotros"
"Your e-mail","Su e-mail"
"Suivez-nous","Follow us"
"Learn more","Más información"
"You might also like","También le gustará"
"Complete with","Completar con"
"Click <a href=""%s"">here</a> to continue shopping.","Hacer clic <a href=""%s"">aquí</a> para continuar las compras"
"Color of the food cup","Color de la cajita"
"1 x food cup for MB Original in color of top container","1 x cajita para MB Original del color del recipiente superior"
"Fedex - Free shipping", "Fedex - Envío gratis"
"Cart content", "Contenido de la cesta"
