"The payment was canceled.","<p>It seems that your online payment encountered difficulties, unfortunately. These reasons may be the cause:</p><br />
<ul>
<li>Entering incorrect bank details.</li>
<li>Payment limit exceeded.</li>
<li>Technical problem on the place of connection to the Internet.</li>
</ul>
<br />
<p>Please notify that our online payment stay fully secured even if your payment fails. Your financial information remains confidential and fully protected.</p>
<br />
<p>If you wish to try again, please find back your cart below. For assistance, please contact us on contact@monbento.com.</p>"
"09 63 23 95 12", "+33 9 63 23 95 12"
"Subscribe to the newsletter","Ricevi la newsletter"
"Valider","Convalidare"
"Cancel Coupon","Annulla Coupon"
"Download the image of my creation","Scarica la foto della mia creazione"
"Share my creation","Condividi la mia creazione"
"Back to the range","Visualizza intera gamma"
"Lundi &gt; Vendredi - 9h&gt;12h / 14h&gt;17h","Lunedi &gt; Venerdì &gt; - 9h&gt;12h / 14h&gt;17h"
"loading...","caricamento..."
"loading","caricamento"
"%s was successfully added to your shopping cart.","%s è stato aggiunto al tuo carrello"
"My Cart <strong>(%s item)</strong>","Il mio carrello <strong>(%s articolo)</strong>"
"My Cart <strong>(%s items)</strong>","Il mio carrello <strong>(%s articoli)</strong>"
"My Cart (%s item)","Il mio carrello %s articolo)"
"My Cart (%s items)","Il mio carrello %s articoli)"
"My cart","Il mio carrello"
"View cart & checkout","Vai al carrello"
"Continue shopping","Continua gli acquisti"
"I have a gift certificate","Ho un coupon"
"Enter code","Inserire il codice"
"Before calculating shipping cost","Prima di calcolare la spedizione"
"Recherchez un produit","Cerca un prodotto"
"Rejoignez-nous", "Unisciti a noi"
"Your e-mail"," La tua e-mail"
"Suivez-nous","Seguici"
"Learn more","Maggiori info"
"You might also like","Ti piacerà anche"
"Complete with","Completa con"
"Click <a href=""%s"">here</a> to continue shopping.","Clicca <a href=""%s"">qui</a> per continuare lo shopping"
"Color of the food cup","Colore della cassetta"
"1 x food cup for MB Original in color of top container","1 x cassetta del colore del recipiente superiore"
"Best Selling","Migliori vendite"
"Top 5 products","Top 5 prodotti"
"Featured products","Prodotti in Evidenza"
"Log In","Login"
"Shopping Cart is Empty","Carrello è vuoto"
"You have no items in your shopping cart.","Non ci sono articoli nel tuo carrello."
"You will be redirected to the PayPal website when you place an order.","Sarai reindirizzato al sito web di PayPal quando si effettua un ordine."
"Make Check payable to:","Fare assegno intestato a:"
"Fedex - Free shipping", "Fedex - Spedizione offerta"
"Cart content", "Contenuto del carello"
