"Pending Reviews","Отзывы, ожидающие проверки"
"Pending Reviews RSS","RSS неподтверждённых отзывов"
"There are %d reviews waiting to be approved. Click here to see the %s.","Отзывы, ожидающие проверки: %d шт. Просмотреть %s."
"There is a review of %s waiting to be approved. Click here to read %s.","Отзыв на товар %s ожидает проверки. Нажмите сюда для просмотра отзыва %s."
"Show notification","Показывать оповещения"
"Send notification","Посылать оповещения"
"Mail to","Email. Получатель"
"Mail Template","Email. Шаблон"
"Store email","Email. Отправитель"
"Notification toolbar will be displayed if there is pending reviews. Default: Yes","Будет отображаться тулбар оповещения, если есть необработанные отзывы. По умолчанию: Да"
"You can specify multiple recipients. Comma separated. For example: admin1@example.com, admin2@example.com","Можно указывать несколько получателей. Разделитель запятая. Например: admin1@example.com,admin2@example.com"
"Notification will be send to e-mail if new review is placed. Default: No","При поступлении нового отзыва будет отослано оповещение на емайл. По умолчанию: Нет"
"Review Notify Options","Параметры Review Notify"
"Module options available in System -> Configuration -> Catalog -> Product Reviews","Настроить модуль можно на странице Система -> Конфигурация -> Каталог -> Отзывы о товаре"
"Unable to post the review.","Невозможно разместить отзыв."
"Use Antispam","Использовать антиспам"
"Make review posting harder for automatic spammers","Затрудняет размещение отзывов автоматическим спаммерам"
